FA2,FA,IRT,dataset,M,N
14.4667014297995,12.591751232030624,4.506665729691415,errors-4,62,12
19.40050881843146,19.784184874594473,4.785087541352222,errors-4,62,12
11.40860481788372,12.38394396821717,4.408289676987105,errors-4,62,12
11.603984290002556,12.475066338182739,4.583616545906728,errors-4,62,12
14.67770608916545,12.603787154633807,4.896136171786998,errors-4,62,12
11.467732952482276,12.394644833291004,4.50072266042615,errors-4,62,12
22.98573056677675,20.115303695884023,4.572163407471857,errors-4,62,12
14.83357035640841,12.544708420481225,4.7199343973862256,errors-4,62,12
22.661369206400874,19.697827637465338,4.990094900793922,errors-4,62,12
20.119419491642887,20.11810316840213,4.525188686778071,errors-4,62,12
14.501264848329019,12.377271819024596,4.752644894483264,errors-4,62,12
14.22641328766053,12.500457976588226,4.859124466134224,errors-4,62,12
14.85021719638981,12.44760965031461,4.608326481579727,errors-4,62,12
11.622335068081455,12.673589622281817,4.595216218569946,errors-4,62,12
19.820854774330623,19.730578719087987,4.575212048771814,errors-4,62,12
12.027840507270174,12.390867839723242,4.589506566041738,errors-4,62,12
11.279730495604133,12.342383088860107,4.277233946013885,errors-4,62,12
14.920509508523189,12.604568816176375,4.633587048327252,errors-4,62,12
21.58445767271569,19.404519015624082,4.709249694286012,errors-4,62,12
11.317622155083358,12.385701608101702,4.856067276031668,errors-4,62,12
11.253428109341696,12.313657845759286,4.475042131926703,errors-4,62,12
11.388955772949796,13.342484832001993,5.126662066968899,errors-4,62,12
14.646283799643664,12.37824706288215,4.476092793907561,errors-4,62,12
11.376989006444354,12.428365018021704,4.6827688116028465,errors-4,62,12
19.42375512560329,19.82994072392664,,errors-4,62,12
11.747958256199471,12.412482541023802,4.560328464565073,errors-4,62,12
11.488745430245686,12.335759262443519,4.6574642432684605,errors-4,62,12
11.741978183228191,12.35577471006783,5.163547760583461,errors-4,62,12
11.761222415788826,12.570387817279371,4.795493608631168,errors-4,62,12
12.102808880948068,12.417576348664985,4.4961944191015855,errors-4,62,12
14.49690574039472,12.572211581352214,4.451551888523376,errors-4,62,12
22.74892181519202,19.896923299741484,4.794093871369219,errors-4,62,12
11.499409745635393,12.391859164813123,4.56669843608268,errors-4,62,12
21.747546751037554,13.106334259881242,4.985847883892342,errors-4,62,12
11.87628691276948,12.44771935286329,4.777037000203989,errors-4,62,12
11.661648244089903,12.408151398069204,4.440129562288462,errors-4,62,12
22.728170288304014,12.746146279653411,4.758745254940734,errors-4,62,12
14.745765148925624,12.423225555782118,4.480441604546655,errors-4,62,12
11.637872811860426,12.389277885252366,4.577464099021024,errors-4,62,12
11.559838056505402,12.564635574661153,4.900556977039002,errors-4,62,12
11.421063478877668,12.584803469913506,4.9059614403188965,errors-4,62,12
14.665446638970685,12.477299594720208,4.606608798000719,errors-4,62,12
13.312993359037716,12.673570186021358,4.75386434451028,errors-4,62,12
15.1732922151742,12.873030143493384,4.568298165661281,errors-4,62,12
11.55536255750749,12.688665340415504,4.619920134437618,errors-4,62,12
11.716285982074828,12.442521098141725,4.552740912425675,errors-4,62,12
22.209789508248072,12.929604334908614,5.188081242876894,errors-4,62,12
11.29529015353879,12.341522896922267,4.4388194161819605,errors-4,62,12
14.420453397786886,19.915317012980353,4.898407925797502,errors-4,62,12
11.651624859404409,12.35945639349799,4.505885078746855,errors-4,62,12
14.343755462603657,12.6434934601023,4.712133430653397,errors-4,62,12
22.603177054478813,19.974421947090377,4.680976629126544,errors-4,62,12
12.048521350237726,12.596510282281562,4.551750281510459,errors-4,62,12
12.045877122517656,12.979805051426808,4.6060120567576055,errors-4,62,12
11.455200492550123,12.341298846840797,4.443678819950101,errors-4,62,12
14.99202084880232,12.49349825273351,5.661863436586486,errors-4,62,12
14.51452191897138,12.438543953423977,4.634132704068045,errors-4,62,12
11.317603615231915,12.385530395992351,4.671710916213019,errors-4,62,12
11.386746403322947,12.349105782419542,4.529926853473022,errors-4,62,12
11.48486821501849,12.550781787520531,4.650836302843921,errors-4,62,12
15.213161556485751,12.671588940653761,4.586435044436286,errors-4,62,12
12.562627390645247,12.427274625041726,4.458589392839558,errors-4,62,12
14.813319601123832,12.555444257738362,4.773217433245416,errors-4,62,12
12.300193838580904,12.525388213252587,4.57664787608414,errors-4,62,12
12.562486468902707,12.580919904475458,4.658174388701541,errors-4,62,12
